fecha,temperatura,humedad,presion,precipitacion,mes,dia_anio,precipitacion_lag1,temperatura_lag1,humedad_lag1,presion_lag1,precipitacion_lag2,temperatura_lag2,humedad_lag2,presion_lag2,precipitacion_lag3,temperatura_lag3,humedad_lag3,presion_lag3,precipitacion_roll_mean_7
2020-01-08,27.302304187458727,58.04116937964815,1017.927248428076,0.0,1,8,0.0,29.737638446522176,73.9467152982298,1020.8905902878108,4.952175906286022,24.29758912915246,86.69904504351406,1014.0735659158528,0.0,24.29753987582999,75.88578404420609,1012.4188547843902,2.9437057755933806
2020-01-09,23.591576842195146,74.4460266822014,1017.3457729624844,0.0,1,9,0.0,27.302304187458727,58.04116937964815,1017.927248428076,0.0,29.737638446522176,73.9467152982298,1020.8905902878108,4.952175906286022,24.29758912915246,86.69904504351406,1014.0735659158528,1.5612376325165667
2020-01-10,26.62768013075789,81.96631486645651,1010.7223023698806,10.58092429659061,1,10,0.0,23.591576842195146,74.4460266822014,1017.3457729624844,0.0,27.302304187458727,58.04116937964815,1017.927248428076,0.0,29.737638446522176,73.9467152982298,1020.8905902878108,0.7074537008980031
2020-01-11,23.60974692156261,63.90217095680618,1008.5537958588584,0.0,1,11,10.58092429659061,26.62768013075789,81.96631486645651,1010.7223023698806,0.0,23.591576842195146,74.4460266822014,1017.3457729624844,0.0,27.302304187458727,58.04116937964815,1017.927248428076,2.2190143146966617
2020-01-12,23.60281073928923,68.65982833327082,1017.7765027911888,0.0,1,12,0.0,23.60974692156261,63.90217095680618,1008.5537958588584,10.58092429659061,26.62768013075789,81.96631486645651,1010.7223023698806,0.0,23.591576842195146,74.4460266822014,1017.3457729624844,2.2190143146966617
2020-01-13,25.725886814698104,70.14688194729197,1017.380233962649,0.0,1,13,0.0,23.60281073928923,68.65982833327082,1017.7765027911888,0.0,23.60974692156261,63.90217095680618,1008.5537958588584,10.58092429659061,26.62768013075789,81.96631486645651,1010.7223023698806,2.2190143146966617
2020-01-14,19.260159266026605,62.1510168691776,1020.3633533787548,0.0,1,14,0.0,25.725886814698104,70.14688194729197,1017.380233962649,0.0,23.60281073928923,68.65982833327082,1017.7765027911888,0.0,23.60974692156261,63.90217095680618,1008.5537958588584,1.5115606137986586
2020-01-15,19.8252465024609,76.4828043384386,1009.9800968701538,0.0,1,15,0.0,19.260159266026605,62.1510168691776,1020.3633533787548,0.0,25.725886814698104,70.14688194729197,1017.380233962649,0.0,23.60281073928923,68.65982833327082,1017.7765027911888,1.5115606137986586
2020-01-16,23.313137412277083,68.79051851392218,1011.8522567231984,7.315591458867531,1,16,0.0,19.8252465024609,76.4828043384386,1009.9800968701538,0.0,19.260159266026605,62.1510168691776,1020.3633533787548,0.0,25.725886814698104,70.14688194729197,1017.380233962649,1.5115606137986586
2020-01-17,21.961506638996728,74.19532443907028,1004.8025791873728,0.0,1,17,7.315591458867531,23.313137412277083,68.79051851392218,1011.8522567231984,0.0,19.8252465024609,76.4828043384386,1009.9800968701538,0.0,19.260159266026605,62.1510168691776,1020.3633533787548,2.5566451079225914
2020-01-18,25.94274199778582,61.125078221979,1011.0376444696956,0.0,1,18,0.0,21.961506638996728,74.19532443907028,1004.8025791873728,7.315591458867531,23.313137412277083,68.79051851392218,1011.8522567231984,0.0,19.8252465024609,76.4828043384386,1009.9800968701538,1.045084494123933
